nome,cpf,data_nascimento,sigla_orgao,id_evento,tipo_evento,data_evento,codigo_categoria,indicador_retificacao,numero_recibo
Gustavo Rocha Teixeira,83080305647,1963-03-04,GOIASPREV,ESOC-GOIASPREV-00000181,admissao,2019-10-20,301,original,REC-2019-GOIASPREV-830803
Juliana Nogueira Moura,05525820420,1964-02-13,GOIASPREV,ESOC-GOIASPREV-00000182,admissao,2012-12-25,301,original,REC-2012-GOIASPREV-055258
Paulo Gomes Silva,74905425026,1977-07-13,GOIASPREV,ESOC-GOIASPREV-00000183,admissao,2020-01-17,301,original,REC-2020-GOIASPREV-749054
João Cardoso Ferreira,16986505663,1997-08-30,GOIASPREV,ESOC-GOIASPREV-00000184,admissao,2021-03-06,301,original,REC-2021-GOIASPREV-169865
Daniel Lopes Lima,75346380205,1995-05-19,GOIASPREV,ESOC-GOIASPREV-00000185,admissao,2015-01-22,301,original,REC-2015-GOIASPREV-753463
Gabriela Ribeiro Nunes,04788560917,1972-03-18,GOIASPREV,ESOC-GOIASPREV-00000186,admissao,2021-03-24,301,original,REC-2021-GOIASPREV-047885
Vinícius Oliveira Martins,80473698579,1974-02-20,GOIASPREV,ESOC-GOIASPREV-00000187,admissao,2025-10-10,301,original,REC-2025-GOIASPREV-804736
Renata Machado Dias,99389534178,1962-10-15,GOIASPREV,ESOC-GOIASPREV-00000188,admissao,2013-02-20,301,original,REC-2013-GOIASPREV-993895
Fábio Cavalcanti Cavalcanti,18697745152,1993-05-24,GOIASPREV,ESOC-GOIASPREV-00000189,admissao,2025-07-12,301,original,REC-2025-GOIASPREV-186977
Helena Monteiro Ramos,54448444864,1964-07-17,GOIASPREV,ESOC-GOIASPREV-00000190,admissao,2002-07-15,301,original,REC-2002-GOIASPREV-544484
Renata Costa Souza,93008525075,1982-01-18,GOIASPREV,ESOC-GOIASPREV-00000191,admissao,2013-04-14,301,original,REC-2013-GOIASPREV-930085
Elisa Cardoso Carvalho,78903315170,1990-11-12,GOIASPREV,ESOC-GOIASPREV-00000192,admissao,2021-07-20,301,original,REC-2021-GOIASPREV-789033
Daniel Rocha Pinto,38757705445,1981-08-20,GOIASPREV,ESOC-GOIASPREV-00000193,admissao,2011-08-03,301,original,REC-2011-GOIASPREV-387577
Marina Fernandes Moura,21613245947,1972-09-30,GOIASPREV,ESOC-GOIASPREV-00000194,admissao,2020-04-04,301,original,REC-2020-GOIASPREV-216132
André Souza Santos,14777092666,1971-09-15,GOIASPREV,ESOC-GOIASPREV-00000195,admissao,2010-04-14,301,original,REC-2010-GOIASPREV-147770
Helena Ramos Teixeira,68102467037,1972-03-29,GOIASPREV,ESOC-GOIASPREV-00000196,admissao,2002-01-24,301,original,REC-2002-GOIASPREV-681024
Samuel Monteiro Pinto,18474408784,1971-06-04,GOIASPREV,ESOC-GOIASPREV-00000197,admissao,2002-12-21,301,original,REC-2002-GOIASPREV-184744
Fábio Freitas Nunes,06655045274,1991-02-11,GOIASPREV,ESOC-GOIASPREV-00000198,admissao,2016-04-12,301,original,REC-2016-GOIASPREV-066550
Marina Melo Barros,89734362879,1997-08-25,GOIASPREV,ESOC-GOIASPREV-00000199,admissao,2017-07-06,301,original,REC-2017-GOIASPREV-897343
Karina Melo Ribeiro,74011151319,1983-06-05,GOIASPREV,ESOC-GOIASPREV-00000200,admissao,2006-02-14,301,original,REC-2006-GOIASPREV-740111
