nome,cpf,dataNascimento,orgao,dataEntrada,dataSaida,matricula,cargo,tipoVinculo,salario,unidadeLotacao,status,sexo,estadoCivil,cor,nacionalidade,email,telefone,avaliacaoDesempenho,cicloAvaliacao
Hugo Almeida Lima,95029221239,14/08/1975,SEDUC,20/03/2011,,GES-SEDUC-000044,Enfermeiro,efetivo,3107.52,Unidade SEDUC - Setor 36,ativo,F,viúva,branca,Brasileira,servidor.95029221239@goias.gov.br,(62) 92412-2077,3.6,2025
Gustavo Pinto Rodrigues,54295846902,10/12/2002,SEDUC,21/11/2023,,GES-SEDUC-000045,Contador,cedido,10315.36,Unidade SEDUC - Setor 29,ativo,F,união estável,negra,Brasileira,servidor.54295846902@goias.gov.br,(62) 93102-3981,4.5,2023
Daniel Pereira Castro,32929302780,24/10/1998,SEDUC,14/06/2022,,GES-SEDUC-000046,Contador,efetivo,4695.01,Unidade SEDUC - Setor 15,afastado,F,união estável,negra,Brasileira,servidor.32929302780@goias.gov.br,(62) 92292-5105,3.4,2025
Yasmin Fernandes Ferreira,62748791703,15/08/1984,SEDUC,26/03/2008,,GES-SEDUC-000047,Contador,efetivo,9724.16,Unidade SEDUC - Setor 38,ativo,M,casado,negra,Brasileira,servidor.62748791703@goias.gov.br,(62) 91674-1464,3.2,2025
Gustavo Santos Ramos,55015369271,29/09/1983,SEDUC,14/03/2011,,GES-SEDUC-000048,Administrador,efetivo,10310.32,Unidade SEDUC - Setor 20,ativo,F,casada,amarela,Brasileira,servidor.55015369271@goias.gov.br,(62) 95873-8430,3.1,2023
Juliana Martins Freitas,60201386070,07/03/1974,SEDUC,20/09/2014,,GES-SEDUC-000049,Segurança,efetivo,12879.38,Unidade SEDUC - Setor 21,ativo,F,viúvo,branca,Brasileira,servidor.60201386070@goias.gov.br,(62) 97070-9437,4.1,2024
Igor Dias Gomes,68093639128,08/09/1981,SEDUC,10/08/2020,,GES-SEDUC-000050,Técnico,efetivo,13861.0,Unidade SEDUC - Setor 40,ativo,F,casada,branca,Brasileira,servidor.68093639128@goias.gov.br,(62) 96364-6123,3.4,2023
Thiago Ramos Santos,69298455666,13/09/2004,SEDUC,02/08/2025,,GES-SEDUC-000051,Assistente,comissionado,8713.7,Unidade SEDUC - Setor 16,ativo,M,divorciada,parda,Brasileira,servidor.69298455666@goias.gov.br,(62) 91828-5609,4.0,2025
Gabriela Lopes Lima,18769304971,21/03/2002,SEDUC,04/06/2023,,GES-SEDUC-000052,Professor,efetivo,11737.12,Unidade SEDUC - Setor 24,ativo,M,viúvo,parda,Brasileira,servidor.18769304971@goias.gov.br,(62) 94189-6939,4.1,2023
Renata Cardoso Pereira,91323758917,29/08/1994,SEDUC,20/12/2023,,GES-SEDUC-000053,Contador,cedido,7408.67,Unidade SEDUC - Setor 22,ativo,F,casado,branca,Brasileira,servidor.91323758917@goias.gov.br,(62) 99341-7576,4.0,2023
Leonardo Castro Vieira,71942774923,29/06/1963,SEDUC,23/02/2001,,GES-SEDUC-000054,Contador,efetivo,8831.42,Unidade SEDUC - Setor 21,ativo,F,casado,amarela,Brasileira,servidor.71942774923@goias.gov.br,(62) 95902-6511,4.0,2025
Leonardo Santos Araújo,73555034480,12/12/2003,GOIASPREV,02/12/2025,,GES-GOIASPREV-000001,Advogado,efetivo,14264.81,Unidade GOIASPREV - Setor 38,ativo,F,solteiro,amarela,Brasileira,servidor.73555034480@goias.gov.br,(62) 95350-4728,4.4,2025
Yasmin Melo Gomes,60268026815,07/02/2003,GOIASPREV,22/01/2022,,GES-GOIASPREV-000002,Enfermeiro,efetivo,13894.0,Unidade GOIASPREV - Setor 8,ativo,M,solteiro,amarela,Brasileira,servidor.60268026815@goias.gov.br,(62) 96139-7861,3.3,2025
Yasmin Costa Souza,38866661236,17/04/1978,GOIASPREV,13/09/2014,,GES-GOIASPREV-000003,Contador,efetivo,9362.38,Unidade GOIASPREV - Setor 31,ativo,F,divorciada,branca,Brasileira,servidor.38866661236@goias.gov.br,(62) 98531-9734,3.7,2024
Paulo Cardoso Machado,42128560934,19/09/1983,GOIASPREV,08/06/2023,,GES-GOIASPREV-000004,Motorista,efetivo,14183.05,Unidade GOIASPREV - Setor 20,ativo,F,casada,amarela,Brasileira,servidor.42128560934@goias.gov.br,(62) 96194-8861,3.7,2025
Patrícia Melo Monteiro,56751905548,13/07/1984,GOIASPREV,10/06/2015,,GES-GOIASPREV-000005,Auditor,comissionado,12214.01,Unidade GOIASPREV - Setor 19,ativo,M,divorciado,parda,Brasileira,servidor.56751905548@goias.gov.br,(62) 96674-8247,4.3,2025
Patrícia Cardoso Machado,03670093311,24/12/2002,GOIASPREV,07/03/2022,,GES-GOIASPREV-000006,Professor,efetivo,10003.42,Unidade GOIASPREV - Setor 38,ativo,M,casada,parda,Brasileira,servidor.03670093311@goias.gov.br,(62) 99700-4697,4.3,2023
Leonardo Alves Lima,42597805069,27/12/1968,GOIASPREV,16/07/2013,,GES-GOIASPREV-000007,Analista,cedido,14241.56,Unidade GOIASPREV - Setor 11,ativo,F,viúva,amarela,Brasileira,servidor.42597805069@goias.gov.br,(62) 94267-5706,3.6,2025
Olívia Fernandes Oliveira,47410828307,22/04/1965,GOIASPREV,05/01/1999,,GES-GOIASPREV-000008,Engenheiro,efetivo,12599.98,Unidade GOIASPREV - Setor 3,ativo,F,viúva,branca,Brasileira,servidor.47410828307@goias.gov.br,(62) 95742-1613,3.0,2025
Patrícia Castro Ramos,61187835358,17/08/1969,GOIASPREV,11/01/2010,,GES-GOIASPREV-000009,Contador,comissionado,8275.84,Unidade GOIASPREV - Setor 13,ativo,M,divorciada,branca,Brasileira,servidor.61187835358@goias.gov.br,(62) 98518-5215,4.4,2023
Mariana Carvalho Monteiro,51929587252,30/03/1990,GOIASPREV,23/12/2025,,GES-GOIASPREV-000010,Assessor,efetivo,3814.83,Unidade GOIASPREV - Setor 7,ativo,M,casado,amarela,Brasileira,servidor.51929587252@goias.gov.br,(62) 96301-5064,3.0,2024
Beatriz Moura Cavalcanti,58391554970,16/02/1981,GOIASPREV,02/03/2019,,GES-GOIASPREV-000011,TI,efetivo,10448.1,Unidade GOIASPREV - Setor 16,ativo,M,solteira,amarela,Brasileira,servidor.58391554970@goias.gov.br,(62) 96026-3616,3.8,2025
Sofia Araújo Rocha,18393245974,25/11/1987,GOIASPREV,19/05/2021,,GES-GOIASPREV-000012,Enfermeiro,comissionado,8394.73,Unidade GOIASPREV - Setor 30,ativo,F,viúvo,amarela,Brasileira,servidor.18393245974@goias.gov.br,(62) 99806-4578,4.5,2025
Diego Rodrigues Pinto,44775583336,06/05/1967,GOIASPREV,28/07/2018,,GES-GOIASPREV-000013,Técnico,efetivo,9207.5,Unidade GOIASPREV - Setor 33,ativo,M,união estável,branca,Brasileira,servidor.44775583336@goias.gov.br,(62) 93695-6375,4.7,2024
Tatiana Ramos Ferreira,81027563902,05/06/1970,GOIASPREV,07/07/2025,,GES-GOIASPREV-000014,Contador,efetivo,3450.94,Unidade GOIASPREV - Setor 9,ativo,F,viúva,parda,Brasileira,servidor.81027563902@goias.gov.br,(62) 98575-6049,4.4,2024
Tatiana Rodrigues Oliveira,18269656453,30/10/1982,GOIASPREV,18/12/2000,,GES-GOIASPREV-000015,Assessor,efetivo,3545.99,Unidade GOIASPREV - Setor 4,ativo,M,viúva,parda,Brasileira,servidor.18269656453@goias.gov.br,(62) 95703-7698,3.4,2023
Igor Melo Melo,28887397392,17/09/1997,GOIASPREV,28/11/2019,08/09/2024,GES-GOIASPREV-000016,Assistente,efetivo,10542.97,Unidade GOIASPREV - Setor 35,exonerado,M,divorciada,parda,Brasileira,servidor.28887397392@goias.gov.br,(62) 93924-9802,3.8,2023
Thiago Vieira Fernandes,62355327254,24/12/1979,GOIASPREV,18/02/1998,,GES-GOIASPREV-000017,Assessor,efetivo,12433.32,Unidade GOIASPREV - Setor 16,ativo,F,divorciada,branca,Brasileira,servidor.62355327254@goias.gov.br,(62) 95516-4088,4.9,2025
Gustavo Santos Dias,55682266366,14/02/1970,GOIASPREV,11/06/1996,,GES-GOIASPREV-000018,Médico,efetivo,9749.15,Unidade GOIASPREV - Setor 29,ativo,M,casada,parda,Brasileira,servidor.55682266366@goias.gov.br,(62) 97590-8191,3.5,2023
Sofia Rocha Pinto,43496681101,23/01/1965,GOIASPREV,14/04/2001,,GES-GOIASPREV-000019,Advogado,efetivo,11838.7,Unidade GOIASPREV - Setor 21,ativo,M,divorciado,branca,Brasileira,servidor.43496681101@goias.gov.br,(62) 99540-4621,3.8,2024
Lucas Lopes Machado,90420244026,20/06/1965,GOIASPREV,22/12/2019,,GES-GOIASPREV-000020,Psicólogo,efetivo,6829.65,Unidade GOIASPREV - Setor 25,afastado,F,viúvo,amarela,Brasileira,servidor.90420244026@goias.gov.br,(62) 93444-5913,3.8,2025
Thiago Gomes Vieira,08362419750,25/06/2002,GOIASPREV,31/10/2021,,GES-GOIASPREV-000021,Administrativo,efetivo,14123.1,Unidade GOIASPREV - Setor 36,ativo,M,viúvo,branca,Brasileira,servidor.08362419750@goias.gov.br,(62) 95177-4331,3.7,2023
Mariana Souza Cardoso,55583241128,08/05/2000,GOIASPREV,05/07/2022,,GES-GOIASPREV-000022,Tecnologista,efetivo,9854.19,Unidade GOIASPREV - Setor 5,ativo,M,união estável,branca,Brasileira,servidor.55583241128@goias.gov.br,(62) 98854-4422,4.7,2024
Mariana Pereira Costa,71994215240,14/03/1987,GOIASPREV,02/08/2025,,GES-GOIASPREV-000023,Enfermeiro,efetivo,11034.09,Unidade GOIASPREV - Setor 26,ativo,M,união estável,negra,Brasileira,servidor.71994215240@goias.gov.br,(62) 95637-7236,3.9,2025
Natália Ramos Vieira,45379102166,25/03/1992,GOIASPREV,22/02/2017,,GES-GOIASPREV-000024,Técnico,efetivo,11252.24,Unidade GOIASPREV - Setor 21,ativo,M,divorciada,negra,Brasileira,servidor.45379102166@goias.gov.br,(62) 97781-1749,4.1,2023
Tatiana Cavalcanti Duarte,92684632022,02/02/1973,GOIASPREV,23/09/1995,,GES-GOIASPREV-000025,Motorista,efetivo,6659.42,Unidade GOIASPREV - Setor 25,ativo,M,viúva,negra,Brasileira,servidor.92684632022@goias.gov.br,(62) 95216-9005,4.9,2025
Camila Ribeiro Lima,50864288581,05/01/2004,GOIASPREV,05/08/2024,,GES-GOIASPREV-000026,Analista,efetivo,13527.72,Unidade GOIASPREV - Setor 35,ativo,M,união estável,parda,Brasileira,servidor.50864288581@goias.gov.br,(62) 92217-1794,4.5,2024
João Silva Martins,78588711370,02/05/1972,GOIASPREV,17/04/2023,,GES-GOIASPREV-000027,Contador,efetivo,3507.27,Unidade GOIASPREV - Setor 40,ativo,F,viúva,parda,Brasileira,servidor.78588711370@goias.gov.br,(62) 91108-9719,4.1,2023
Patrícia Nogueira Santos,10764382969,02/07/1961,GOIASPREV,30/09/2018,,GES-GOIASPREV-000028,Contador,efetivo,10686.19,Unidade GOIASPREV - Setor 12,ativo,M,solteira,branca,Brasileira,servidor.10764382969@goias.gov.br,(62) 94948-4144,4.2,2024
Fábio Araújo Monteiro,78275356903,19/10/1991,GOIASPREV,17/10/2015,,GES-GOIASPREV-000029,Pedagogo,efetivo,14385.73,Unidade GOIASPREV - Setor 15,ativo,F,solteira,parda,Brasileira,servidor.78275356903@goias.gov.br,(62) 92531-7640,3.8,2025
Karina Ferreira Ramos,26869985049,14/09/2002,GOIASPREV,06/01/2021,,GES-GOIASPREV-000030,Assessor,efetivo,6675.87,Unidade GOIASPREV - Setor 7,ativo,M,casada,branca,Brasileira,servidor.26869985049@goias.gov.br,(62) 98790-5441,3.1,2023
André Santos Martins,99402587551,25/02/1985,GOIASPREV,17/08/2004,,GES-GOIASPREV-000031,TI,efetivo,12402.08,Unidade GOIASPREV - Setor 26,ativo,M,divorciado,branca,Brasileira,servidor.99402587551@goias.gov.br,(62) 94939-7375,4.4,2025
Isabela Ferreira Correia,16510776901,05/10/1989,GOIASPREV,14/05/2016,,GES-GOIASPREV-000032,Auditor,efetivo,7913.93,Unidade GOIASPREV - Setor 5,ativo,F,viúvo,negra,Brasileira,servidor.16510776901@goias.gov.br,(62) 91485-5478,4.6,2024
Elisa Lopes Carvalho,93486846710,06/01/2004,GOIASPREV,18/04/2023,,GES-GOIASPREV-000033,TI,efetivo,3802.62,Unidade GOIASPREV - Setor 40,ativo,F,casada,parda,Brasileira,servidor.93486846710@goias.gov.br,(62) 92344-5390,3.3,2025
Gabriela Ferreira Silva,68252537197,03/11/1973,GOIASPREV,23/06/2012,,GES-GOIASPREV-000034,Motorista,efetivo,11707.75,Unidade GOIASPREV - Setor 7,ativo,M,solteira,branca,Brasileira,servidor.68252537197@goias.gov.br,(62) 98061-8353,4.1,2025
Camila Machado Ferreira,57166657642,09/08/1996,GOIASPREV,02/12/2016,,GES-GOIASPREV-000035,Segurança,efetivo,6595.83,Unidade GOIASPREV - Setor 25,ativo,M,divorciado,amarela,Brasileira,servidor.57166657642@goias.gov.br,(62) 97353-2387,4.4,2025
Elisa Ribeiro Lima,21061157253,11/10/1981,GOIASPREV,06/06/2025,,GES-GOIASPREV-000036,Professor,efetivo,8569.55,Unidade GOIASPREV - Setor 5,ativo,M,viúvo,negra,Brasileira,servidor.21061157253@goias.gov.br,(62) 97899-5911,4.0,2023
Marina Almeida Vieira,05127731495,25/05/1992,GOIASPREV,15/01/2016,,GES-GOIASPREV-000037,Técnico,efetivo,2879.18,Unidade GOIASPREV - Setor 26,afastado,F,viúvo,negra,Brasileira,servidor.05127731495@goias.gov.br,(62) 98212-6484,3.9,2025
Mariana Costa Teixeira,41201008395,18/03/1972,GOIASPREV,23/06/2008,,GES-GOIASPREV-000038,Engenheiro,cedido,14134.09,Unidade GOIASPREV - Setor 19,ativo,F,casada,negra,Brasileira,servidor.41201008395@goias.gov.br,(62) 97161-5592,4.6,2024
Mariana Cavalcanti Fernandes,59292646869,29/09/1992,GOIASPREV,18/04/2013,,GES-GOIASPREV-000039,Engenheiro,efetivo,9236.16,Unidade GOIASPREV - Setor 30,afastado,M,viúva,negra,Brasileira,servidor.59292646869@goias.gov.br,(62) 92133-7703,4.3,2023
João Lopes Melo,04503752855,03/03/1987,GOIASPREV,06/08/2010,,GES-GOIASPREV-000040,Assistente,efetivo,9795.83,Unidade GOIASPREV - Setor 38,ativo,F,união estável,amarela,Brasileira,servidor.04503752855@goias.gov.br,(62) 99907-1602,4.6,2024
Camila Ribeiro Oliveira,11968917373,16/08/1967,GOIASPREV,27/11/1999,,GES-GOIASPREV-000041,TI,cedido,10726.42,Unidade GOIASPREV - Setor 26,ativo,F,viúvo,parda,Brasileira,servidor.11968917373@goias.gov.br,(62) 91172-2615,3.5,2025
Juliana Cavalcanti Correia,49382713387,30/10/1979,GOIASPREV,28/10/2017,,GES-GOIASPREV-000042,Contador,efetivo,3087.38,Unidade GOIASPREV - Setor 7,ativo,F,viúvo,parda,Brasileira,servidor.49382713387@goias.gov.br,(62) 92901-3321,3.7,2024
Camila Costa Alves,67311120381,06/11/2000,GOIASPREV,02/03/2021,,GES-GOIASPREV-000043,Pedagogo,efetivo,8093.63,Unidade GOIASPREV - Setor 5,ativo,F,solteiro,parda,Brasileira,servidor.67311120381@goias.gov.br,(62) 91370-6620,4.3,2025
Renata Ribeiro Freitas,22098787057,29/09/1974,GOIASPREV,10/12/2005,,GES-GOIASPREV-000044,Analista,efetivo,8206.03,Unidade GOIASPREV - Setor 26,ativo,M,casado,amarela,Brasileira,servidor.22098787057@goias.gov.br,(62) 97481-1478,4.5,2023
Ana Martins Martins,77475806227,01/05/2000,GOIASPREV,20/12/2024,,GES-GOIASPREV-000045,Professor,efetivo,12262.14,Unidade GOIASPREV - Setor 5,ativo,M,união estável,branca,Brasileira,servidor.77475806227@goias.gov.br,(62) 96993-6340,3.4,2023
André Melo Monteiro,38726147203,15/07/1983,GOIASPREV,29/06/2023,,GES-GOIASPREV-000046,TI,efetivo,6918.22,Unidade GOIASPREV - Setor 30,ativo,M,divorciado,parda,Brasileira,servidor.38726147203@goias.gov.br,(62) 93194-6131,3.2,2024
João Correia Melo,97577492060,29/06/1970,GOIASPREV,19/03/2003,,GES-GOIASPREV-000047,Assessor,efetivo,9525.23,Unidade GOIASPREV - Setor 28,ativo,M,viúva,branca,Brasileira,servidor.97577492060@goias.gov.br,(62) 93733-9022,3.6,2023
Daniel Barros Silva,32689170205,22/03/1988,GOIASPREV,07/02/2025,,GES-GOIASPREV-000048,Psicólogo,efetivo,12338.03,Unidade GOIASPREV - Setor 36,ativo,F,viúvo,amarela,Brasileira,servidor.32689170205@goias.gov.br,(62) 97809-8272,4.0,2023
Rafael Rocha Fernandes,50105922587,08/10/1962,GOIASPREV,22/11/2004,,GES-GOIASPREV-000049,Motorista,efetivo,8150.66,Unidade GOIASPREV - Setor 32,ativo,M,solteira,negra,Brasileira,servidor.50105922587@goias.gov.br,(62) 99898-7010,4.1,2023
Helena Alves Dias,02417920379,06/08/1999,GOIASPREV,21/09/2023,,GES-GOIASPREV-000050,Motorista,comissionado,3177.1,Unidade GOIASPREV - Setor 17,ativo,F,solteira,amarela,Brasileira,servidor.02417920379@goias.gov.br,(62) 92923-4882,3.4,2025
Helena Ribeiro Lima,46386663616,16/06/1991,GOIASPREV,25/05/2025,,GES-GOIASPREV-000051,Médico,efetivo,12223.65,Unidade GOIASPREV - Setor 37,ativo,F,união estável,negra,Brasileira,servidor.46386663616@goias.gov.br,(62) 99827-3758,3.6,2025
Natália Alves Lima,63052866630,03/04/1986,GOIASPREV,29/09/2010,,GES-GOIASPREV-000052,Assessor,comissionado,14412.09,Unidade GOIASPREV - Setor 9,ativo,M,casada,branca,Brasileira,servidor.63052866630@goias.gov.br,(62) 96277-5055,4.5,2025
Rafael Duarte Melo,00815518277,26/03/1995,GOIASPREV,17/03/2024,,GES-GOIASPREV-000053,Pedagogo,efetivo,12096.8,Unidade GOIASPREV - Setor 6,ativo,F,união estável,negra,Brasileira,servidor.00815518277@goias.gov.br,(62) 97046-8449,4.9,2024
Juliana Barros Rodrigues,68234725610,22/03/1960,GOIASPREV,07/03/1999,,GES-GOIASPREV-000054,Analista,efetivo,14127.1,Unidade GOIASPREV - Setor 14,ativo,F,divorciado,negra,Brasileira,servidor.68234725610@goias.gov.br,(62) 95646-6533,4.1,2023
Daniel Oliveira Alves,90522986536,17/07/2003,GOIASPREV,17/12/2025,,GES-GOIASPREV-000055,Administrador,efetivo,8177.11,Unidade GOIASPREV - Setor 8,ativo,M,viúva,amarela,Brasileira,servidor.90522986536@goias.gov.br,(62) 91011-8009,3.4,2025
Rafael Ferreira Araújo,44313645950,01/11/1971,GOIASPREV,27/02/2024,,GES-GOIASPREV-000056,Professor,efetivo,10574.75,Unidade GOIASPREV - Setor 11,ativo,M,viúvo,negra,Brasileira,servidor.44313645950@goias.gov.br,(62) 94836-8032,4.3,2025
Eduarda Lima Cavalcanti,57100731488,15/07/1968,GOIASPREV,18/01/1995,,GES-GOIASPREV-000057,Enfermeiro,efetivo,8007.28,Unidade GOIASPREV - Setor 1,ativo,F,solteira,amarela,Brasileira,servidor.57100731488@goias.gov.br,(62) 93165-8826,3.1,2024
Diego Moura Lima,53404172396,06/01/1968,GOIASPREV,06/08/1999,,GES-GOIASPREV-000058,Tecnologista,efetivo,11611.95,Unidade GOIASPREV - Setor 9,ativo,M,solteira,parda,Brasileira,servidor.53404172396@goias.gov.br,(62) 93688-8210,3.7,2023
Igor Martins Ferreira,53880991804,31/07/1973,GOIASPREV,20/06/2013,,GES-GOIASPREV-000059,Técnico,efetivo,4240.94,Unidade GOIASPREV - Setor 25,ativo,F,viúvo,negra,Brasileira,servidor.53880991804@goias.gov.br,(62) 93290-5059,3.6,2023
Vinícius Nogueira Santos,75586109743,06/04/1982,GOIASPREV,31/01/2025,,GES-GOIASPREV-000060,Motorista,efetivo,9901.04,Unidade GOIASPREV - Setor 13,ativo,F,divorciado,parda,Brasileira,servidor.75586109743@goias.gov.br,(62) 94921-9108,3.8,2023
Ana Araújo Teixeira,62475308621,26/10/2004,GOIASPREV,20/03/2023,,GES-GOIASPREV-000061,Contador,efetivo,12615.99,Unidade GOIASPREV - Setor 27,ativo,F,união estável,branca,Brasileira,servidor.62475308621@goias.gov.br,(62) 98717-2195,3.0,2023
Daniel Monteiro Correia,02591819432,27/03/1961,GOIASPREV,05/10/2006,,GES-GOIASPREV-000062,Motorista,efetivo,8662.27,Unidade GOIASPREV - Setor 27,ativo,F,viúvo,parda,Brasileira,servidor.02591819432@goias.gov.br,(62) 99791-9808,4.2,2024
Nicolas Gomes Fernandes,94813322336,02/07/1967,GOIASPREV,25/11/2008,,GES-GOIASPREV-000063,Advogado,efetivo,10221.24,Unidade GOIASPREV - Setor 5,ativo,F,viúvo,branca,Brasileira,servidor.94813322336@goias.gov.br,(62) 91948-5005,3.2,2024
Daniel Moura Carvalho,39663923130,28/05/1970,GOIASPREV,04/05/2015,,GES-GOIASPREV-000064,Técnico,efetivo,4405.38,Unidade GOIASPREV - Setor 1,ativo,M,viúva,negra,Brasileira,servidor.39663923130@goias.gov.br,(62) 99568-9474,4.6,2025
Rafael Pereira Santos,50116970618,05/04/1983,GOIASPREV,30/09/2008,,GES-GOIASPREV-000065,Advogado,efetivo,5982.17,Unidade GOIASPREV - Setor 5,ativo,F,solteira,amarela,Brasileira,servidor.50116970618@goias.gov.br,(62) 98457-9368,3.7,2024
Gabriela Pinto Pereira,92673840745,21/12/1974,GOIASPREV,30/06/2011,,GES-GOIASPREV-000066,Enfermeiro,efetivo,2830.05,Unidade GOIASPREV - Setor 1,ativo,M,solteiro,amarela,Brasileira,servidor.92673840745@goias.gov.br,(62) 96963-7274,4.8,2023
Gustavo Rocha Teixeira,83080305647,04/03/1963,GOIASPREV,20/10/2019,,GES-GOIASPREV-000067,Enfermeiro,efetivo,11227.37,Unidade GOIASPREV - Setor 18,ativo,M,divorciada,parda,Brasileira,servidor.83080305647@goias.gov.br,(62) 99225-1862,3.4,2025
Juliana Nogueira Moura,05525820420,13/02/1964,GOIASPREV,25/12/2012,,GES-GOIASPREV-000068,Advogado,efetivo,8143.93,Unidade GOIASPREV - Setor 24,ativo,M,divorciado,negra,Brasileira,servidor.05525820420@goias.gov.br,(62) 94974-8600,3.7,2024
Paulo Gomes Silva,74905425026,13/07/1977,GOIASPREV,17/01/2020,,GES-GOIASPREV-000069,Assessor,efetivo,9136.08,Unidade GOIASPREV - Setor 1,ativo,F,solteiro,amarela,Brasileira,servidor.74905425026@goias.gov.br,(62) 96038-2703,3.4,2023
João Cardoso Ferreira,16986505663,30/08/1997,GOIASPREV,06/03/2021,,GES-GOIASPREV-000070,Administrativo,comissionado,13298.26,Unidade GOIASPREV - Setor 34,afastado,F,divorciada,amarela,Brasileira,servidor.16986505663@goias.gov.br,(62) 92391-2565,4.0,2025
Daniel Lopes Lima,75346380205,19/05/1995,GOIASPREV,22/01/2015,,GES-GOIASPREV-000071,Enfermeiro,efetivo,12755.69,Unidade GOIASPREV - Setor 26,ativo,F,divorciada,amarela,Brasileira,servidor.75346380205@goias.gov.br,(62) 95455-4827,3.1,2023
Gabriela Ribeiro Nunes,04788560917,18/03/1972,GOIASPREV,24/03/2021,,GES-GOIASPREV-000072,Pedagogo,efetivo,4212.62,Unidade GOIASPREV - Setor 23,ativo,M,viúva,negra,Brasileira,servidor.04788560917@goias.gov.br,(62) 98591-5341,4.7,2023
Vinícius Oliveira Martins,80473698579,20/02/1974,GOIASPREV,10/10/2025,,GES-GOIASPREV-000073,Advogado,efetivo,11120.54,Unidade GOIASPREV - Setor 23,ativo,F,união estável,parda,Brasileira,servidor.80473698579@goias.gov.br,(62) 95896-5262,4.6,2023
Renata Machado Dias,99389534178,15/10/1962,GOIASPREV,20/02/2013,,GES-GOIASPREV-000074,Técnico,efetivo,12205.59,Unidade GOIASPREV - Setor 9,ativo,M,solteiro,parda,Brasileira,servidor.99389534178@goias.gov.br,(62) 94641-3141,3.4,2024
Fábio Cavalcanti Cavalcanti,18697745152,24/05/1993,GOIASPREV,12/07/2025,,GES-GOIASPREV-000075,Professor,comissionado,3677.35,Unidade GOIASPREV - Setor 5,afastado,M,viúva,branca,Brasileira,servidor.18697745152@goias.gov.br,(62) 92506-6432,3.2,2024
Helena Monteiro Ramos,54448444864,17/07/1964,GOIASPREV,15/07/2002,,GES-GOIASPREV-000076,Analista,efetivo,7791.97,Unidade GOIASPREV - Setor 23,afastado,M,casado,negra,Brasileira,servidor.54448444864@goias.gov.br,(62) 95585-8307,4.8,2023
Renata Costa Souza,93008525075,18/01/1982,GOIASPREV,14/04/2013,,GES-GOIASPREV-000077,Assistente,efetivo,4405.66,Unidade GOIASPREV - Setor 13,ativo,M,união estável,parda,Brasileira,servidor.93008525075@goias.gov.br,(62) 97266-6883,4.0,2024
Elisa Cardoso Carvalho,78903315170,12/11/1990,GOIASPREV,20/07/2021,,GES-GOIASPREV-000078,Analista,efetivo,5362.54,Unidade GOIASPREV - Setor 18,ativo,M,viúva,negra,Brasileira,servidor.78903315170@goias.gov.br,(62) 94813-3615,3.2,2025
Daniel Rocha Pinto,38757705445,20/08/1981,GOIASPREV,03/08/2011,,GES-GOIASPREV-000079,Tecnologista,efetivo,12618.9,Unidade GOIASPREV - Setor 12,ativo,M,casada,negra,Brasileira,servidor.38757705445@goias.gov.br,(62) 96878-1462,4.4,2024
Marina Fernandes Moura,21613245947,30/09/1972,GOIASPREV,04/04/2020,,GES-GOIASPREV-000080,Engenheiro,efetivo,3856.01,Unidade GOIASPREV - Setor 15,afastado,M,solteiro,amarela,Brasileira,servidor.21613245947@goias.gov.br,(62) 91011-6435,4.8,2023
André Souza Santos,14777092666,15/09/1971,GOIASPREV,14/04/2010,,GES-GOIASPREV-000081,Contador,efetivo,13531.52,Unidade GOIASPREV - Setor 8,ativo,F,solteira,negra,Brasileira,servidor.14777092666@goias.gov.br,(62) 97481-2655,3.7,2024
Helena Ramos Teixeira,68102467037,29/03/1972,GOIASPREV,24/01/2002,,GES-GOIASPREV-000082,Engenheiro,efetivo,9375.13,Unidade GOIASPREV - Setor 40,ativo,F,casada,branca,Brasileira,servidor.68102467037@goias.gov.br,(62) 97199-6026,4.5,2024
Samuel Monteiro Pinto,18474408784,04/06/1971,GOIASPREV,21/12/2002,,GES-GOIASPREV-000083,Administrativo,efetivo,6523.14,Unidade GOIASPREV - Setor 40,ativo,M,solteira,amarela,Brasileira,servidor.18474408784@goias.gov.br,(62) 93304-6425,4.5,2023
Fábio Freitas Nunes,06655045274,11/02/1991,GOIASPREV,12/04/2016,,GES-GOIASPREV-000084,Analista,efetivo,5719.63,Unidade GOIASPREV - Setor 5,ativo,F,divorciado,parda,Brasileira,servidor.06655045274@goias.gov.br,(62) 91020-1788,3.8,2025
Marina Melo Barros,89734362879,25/08/1997,GOIASPREV,06/07/2017,,GES-GOIASPREV-000085,Analista,efetivo,12497.04,Unidade GOIASPREV - Setor 37,afastado,M,casado,amarela,Brasileira,servidor.89734362879@goias.gov.br,(62) 92207-1547,3.6,2024
Karina Melo Ribeiro,74011151319,05/06/1983,GOIASPREV,14/02/2006,,GES-GOIASPREV-000086,Assistente,efetivo,13308.05,Unidade GOIASPREV - Setor 6,ativo,F,viúva,parda,Brasileira,servidor.74011151319@goias.gov.br,(62) 98066-3703,4.2,2024
