nome,cpf,data_nascimento,sigla_orgao,data_admissao,data_saida,matricula,cargo,tipo_vinculo,salario_base,lotacao,status_servidor
Juliana Cavalcanti Correia,493.827.133-87,1979-10-30,GOIASPREV,2017-10-28,,RH-GOIASPREV-000042,Contador,efetivo,3087.38,Unidade GOIASPREV - Setor 7,ativo
Camila Costa Alves,673.111.203-81,2000-11-06,GOIASPREV,2021-03-02,,RH-GOIASPREV-000043,Pedagogo,efetivo,8093.63,Unidade GOIASPREV - Setor 5,ativo
Renata Ribeiro Freitas,220.987.870-57,1974-09-29,GOIASPREV,2005-12-10,,RH-GOIASPREV-000044,Analista,efetivo,8206.03,Unidade GOIASPREV - Setor 26,ativo
Ana Martins Martins,774.758.062-27,2000-05-01,GOIASPREV,2024-12-20,,RH-GOIASPREV-000045,Professor,efetivo,12262.14,Unidade GOIASPREV - Setor 5,ativo
André Melo Monteiro,387.261.472-03,1983-07-15,GOIASPREV,2023-06-29,,RH-GOIASPREV-000046,TI,efetivo,6918.22,Unidade GOIASPREV - Setor 30,ativo
João Correia Melo,975.774.920-60,1970-06-29,GOIASPREV,2003-03-19,,RH-GOIASPREV-000047,Assessor,efetivo,9525.23,Unidade GOIASPREV - Setor 28,ativo
Daniel Barros Silva,326.891.702-05,1988-03-22,GOIASPREV,2025-02-07,,RH-GOIASPREV-000048,Psicólogo,efetivo,12338.03,Unidade GOIASPREV - Setor 36,ativo
Rafael Rocha Fernandes,501.059.225-87,1962-10-08,GOIASPREV,2004-11-22,,RH-GOIASPREV-000049,Motorista,efetivo,8150.66,Unidade GOIASPREV - Setor 32,ativo
Helena Alves Dias,024.179.203-79,1999-08-06,GOIASPREV,2023-09-21,,RH-GOIASPREV-000050,Motorista,comissionado,3177.1,Unidade GOIASPREV - Setor 17,ativo
Helena Ribeiro Lima,463.866.636-16,1991-06-16,GOIASPREV,2025-05-25,,RH-GOIASPREV-000051,Médico,efetivo,12223.65,Unidade GOIASPREV - Setor 37,ativo
Natália Alves Lima,630.528.666-30,1986-04-03,GOIASPREV,2010-09-29,,RH-GOIASPREV-000052,Assessor,comissionado,14412.09,Unidade GOIASPREV - Setor 9,ativo
Rafael Duarte Melo,008.155.182-77,1995-03-26,GOIASPREV,2024-03-17,,RH-GOIASPREV-000053,Pedagogo,efetivo,12096.8,Unidade GOIASPREV - Setor 6,ativo
Juliana Barros Rodrigues,682.347.256-10,1960-03-22,GOIASPREV,1999-03-07,,RH-GOIASPREV-000054,Analista,efetivo,14127.1,Unidade GOIASPREV - Setor 14,ativo
Daniel Oliveira Alves,905.229.865-36,2003-07-17,GOIASPREV,2025-12-17,,RH-GOIASPREV-000055,Administrador,efetivo,8177.11,Unidade GOIASPREV - Setor 8,ativo
Rafael Ferreira Araújo,443.136.459-50,1971-11-01,GOIASPREV,2024-02-27,,RH-GOIASPREV-000056,Professor,efetivo,10574.75,Unidade GOIASPREV - Setor 11,ativo
Eduarda Lima Cavalcanti,571.007.314-88,1968-07-15,GOIASPREV,1995-01-18,,RH-GOIASPREV-000057,Enfermeiro,efetivo,8007.28,Unidade GOIASPREV - Setor 1,ativo
Diego Moura Lima,534.041.723-96,1968-01-06,GOIASPREV,1999-08-06,,RH-GOIASPREV-000058,Tecnologista,efetivo,11611.95,Unidade GOIASPREV - Setor 9,ativo
Igor Martins Ferreira,538.809.918-04,1973-07-31,GOIASPREV,2013-06-20,,RH-GOIASPREV-000059,Técnico,efetivo,4240.94,Unidade GOIASPREV - Setor 25,ativo
Vinícius Nogueira Santos,755.861.097-43,1982-04-06,GOIASPREV,2025-01-31,,RH-GOIASPREV-000060,Motorista,efetivo,9901.04,Unidade GOIASPREV - Setor 13,ativo
Ana Araújo Teixeira,624.753.086-21,2004-10-26,GOIASPREV,2023-03-20,,RH-GOIASPREV-000061,Contador,efetivo,12615.99,Unidade GOIASPREV - Setor 27,ativo
Daniel Monteiro Correia,025.918.194-32,1961-03-27,GOIASPREV,2006-10-05,,RH-GOIASPREV-000062,Motorista,efetivo,8662.27,Unidade GOIASPREV - Setor 27,ativo
Nicolas Gomes Fernandes,948.133.223-36,1967-07-02,GOIASPREV,2008-11-25,,RH-GOIASPREV-000063,Advogado,efetivo,10221.24,Unidade GOIASPREV - Setor 5,ativo
Daniel Moura Carvalho,396.639.231-30,1970-05-28,GOIASPREV,2015-05-04,,RH-GOIASPREV-000064,Técnico,efetivo,4405.38,Unidade GOIASPREV - Setor 1,ativo
Rafael Pereira Santos,501.169.706-18,1983-04-05,GOIASPREV,2008-09-30,,RH-GOIASPREV-000065,Advogado,efetivo,5982.17,Unidade GOIASPREV - Setor 5,ativo
Gabriela Pinto Pereira,926.738.407-45,1974-12-21,GOIASPREV,2011-06-30,,RH-GOIASPREV-000066,Enfermeiro,efetivo,2830.05,Unidade GOIASPREV - Setor 1,ativo
Gustavo Rocha Teixeira,830.803.056-47,1963-03-04,GOIASPREV,2019-10-20,,RH-GOIASPREV-000067,Enfermeiro,efetivo,11227.37,Unidade GOIASPREV - Setor 18,ativo
Juliana Nogueira Moura,055.258.204-20,1964-02-13,GOIASPREV,2012-12-25,,RH-GOIASPREV-000068,Advogado,efetivo,8143.93,Unidade GOIASPREV - Setor 24,ativo
Paulo Gomes Silva,749.054.250-26,1977-07-13,GOIASPREV,2020-01-17,,RH-GOIASPREV-000069,Assessor,efetivo,9136.08,Unidade GOIASPREV - Setor 1,ativo
João Cardoso Ferreira,169.865.056-63,1997-08-30,GOIASPREV,2021-03-06,,RH-GOIASPREV-000070,Administrativo,comissionado,13298.26,Unidade GOIASPREV - Setor 34,afastado
Daniel Lopes Lima,753.463.802-05,1995-05-19,GOIASPREV,2015-01-22,,RH-GOIASPREV-000071,Enfermeiro,efetivo,12755.69,Unidade GOIASPREV - Setor 26,ativo
Gabriela Ribeiro Nunes,047.885.609-17,1972-03-18,GOIASPREV,2021-03-24,,RH-GOIASPREV-000072,Pedagogo,efetivo,4212.62,Unidade GOIASPREV - Setor 23,ativo
Vinícius Oliveira Martins,804.736.985-79,1974-02-20,GOIASPREV,2025-10-10,,RH-GOIASPREV-000073,Advogado,efetivo,11120.54,Unidade GOIASPREV - Setor 23,ativo
Renata Machado Dias,993.895.341-78,1962-10-15,GOIASPREV,2013-02-20,,RH-GOIASPREV-000074,Técnico,efetivo,12205.59,Unidade GOIASPREV - Setor 9,ativo
Fábio Cavalcanti Cavalcanti,186.977.451-52,1993-05-24,GOIASPREV,2025-07-12,,RH-GOIASPREV-000075,Professor,comissionado,3677.35,Unidade GOIASPREV - Setor 5,afastado
Helena Monteiro Ramos,544.484.448-64,1964-07-17,GOIASPREV,2002-07-15,,RH-GOIASPREV-000076,Analista,efetivo,7791.97,Unidade GOIASPREV - Setor 23,afastado
Renata Costa Souza,930.085.250-75,1982-01-18,GOIASPREV,2013-04-14,,RH-GOIASPREV-000077,Assistente,efetivo,4405.66,Unidade GOIASPREV - Setor 13,ativo
Elisa Cardoso Carvalho,789.033.151-70,1990-11-12,GOIASPREV,2021-07-20,,RH-GOIASPREV-000078,Analista,efetivo,5362.54,Unidade GOIASPREV - Setor 18,ativo
Daniel Rocha Pinto,387.577.054-45,1981-08-20,GOIASPREV,2011-08-03,,RH-GOIASPREV-000079,Tecnologista,efetivo,12618.9,Unidade GOIASPREV - Setor 12,ativo
Marina Fernandes Moura,216.132.459-47,1972-09-30,GOIASPREV,2020-04-04,,RH-GOIASPREV-000080,Engenheiro,efetivo,3856.01,Unidade GOIASPREV - Setor 15,afastado
André Souza Santos,147.770.926-66,1971-09-15,GOIASPREV,2010-04-14,,RH-GOIASPREV-000081,Contador,efetivo,13531.52,Unidade GOIASPREV - Setor 8,ativo
Helena Ramos Teixeira,681.024.670-37,1972-03-29,GOIASPREV,2002-01-24,,RH-GOIASPREV-000082,Engenheiro,efetivo,9375.13,Unidade GOIASPREV - Setor 40,ativo
Samuel Monteiro Pinto,184.744.087-84,1971-06-04,GOIASPREV,2002-12-21,,RH-GOIASPREV-000083,Administrativo,efetivo,6523.14,Unidade GOIASPREV - Setor 40,ativo
Fábio Freitas Nunes,066.550.452-74,1991-02-11,GOIASPREV,2016-04-12,,RH-GOIASPREV-000084,Analista,efetivo,5719.63,Unidade GOIASPREV - Setor 5,ativo
Marina Melo Barros,897.343.628-79,1997-08-25,GOIASPREV,2017-07-06,,RH-GOIASPREV-000085,Analista,efetivo,12497.04,Unidade GOIASPREV - Setor 37,afastado
Karina Melo Ribeiro,740.111.513-19,1983-06-05,GOIASPREV,2006-02-14,,RH-GOIASPREV-000086,Assistente,efetivo,13308.05,Unidade GOIASPREV - Setor 6,ativo
